"","date","outdoor_dates","date_ideas","match","romance","intimacy","video_dating","relationships","hookups","kissing","hugging","sex","date_from_home","hinge","bumble","dating_apps","love","online_dating"
"1",2017-05-28,38,56,48,53,70,67,68,73,15,23,97,1,50,33,52,82,94
"2",2017-06-04,83,56,52,47,69,53,65,81,14,22,93,1,46,30,47,85,93
"3",2017-06-11,55,58,48,47,64,44,66,79,14,20,92,1,47,31,54,81,98
"4",2017-06-18,35,61,52,47,66,55,65,75,15,21,91,1,46,30,51,81,98
"5",2017-06-25,85,59,46,49,72,60,64,80,15,21,97,1,47,31,50,83,96
"6",2017-07-02,73,63,45,49,72,62,63,83,22,20,97,1,48,34,57,79,95
"7",2017-07-09,85,65,51,47,79,61,66,77,15,21,96,1,52,33,53,81,96
"8",2017-07-16,69,65,46,46,64,72,66,83,15,21,93,1,47,30,56,78,98
"9",2017-07-23,83,64,46,46,70,66,64,82,15,22,95,2,48,32,51,82,97
"10",2017-07-30,50,70,44,47,69,55,63,84,15,19,93,1,51,33,53,80,100
"11",2017-08-06,36,60,45,47,68,68,63,77,14,21,93,1,50,30,55,79,99
"12",2017-08-13,27,60,46,45,62,47,62,76,14,20,92,1,47,31,51,80,89
"13",2017-08-20,31,52,50,42,62,47,62,79,13,20,87,1,45,30,44,75,81
"14",2017-08-27,39,58,63,45,70,43,68,76,13,24,89,1,46,29,47,76,85
"15",2017-09-03,47,56,46,41,58,49,70,69,12,21,83,1,43,29,46,73,78
"16",2017-09-10,17,56,45,40,65,48,74,63,12,20,81,1,43,28,46,74,76
"17",2017-09-17,38,61,47,40,62,69,78,61,13,20,89,1,47,28,49,76,84
"18",2017-09-24,47,67,46,41,64,45,82,64,12,18,85,1,45,29,46,73,81
"19",2017-10-01,21,59,44,41,80,73,81,65,13,31,83,1,47,29,48,75,84
"20",2017-10-08,29,65,43,41,67,57,79,73,13,23,84,1,49,29,50,77,89
"21",2017-10-15,35,56,45,40,74,47,83,67,13,20,82,1,48,31,50,79,94
"22",2017-10-22,38,54,45,41,72,66,83,63,14,20,84,1,45,31,47,75,90
"23",2017-10-29,29,67,44,39,70,60,79,64,12,20,81,1,48,28,41,72,85
"24",2017-11-05,42,73,47,42,74,59,79,59,13,21,79,1,48,26,50,81,85
"25",2017-11-12,29,69,47,43,81,60,85,64,13,22,79,2,48,28,44,75,81
"26",2017-11-19,27,52,47,44,67,53,68,63,14,27,80,1,47,25,48,78,78
"27",2017-11-26,41,56,47,42,74,73,82,65,13,22,77,1,47,28,45,78,79
"28",2017-12-03,25,56,46,40,68,45,80,59,13,21,79,1,48,25,45,77,77
"29",2017-12-10,46,55,46,42,73,53,78,63,13,22,76,2,46,24,49,77,85
"30",2017-12-17,40,55,45,50,63,55,66,57,14,20,81,2,45,27,45,80,83
"31",2017-12-24,58,68,45,51,62,51,55,70,15,23,86,1,45,24,55,83,90
"32",2017-12-31,52,74,47,50,61,67,63,66,14,24,83,1,45,27,57,78,96
"33",2018-01-07,33,68,51,48,71,61,71,66,12,24,80,1,47,26,52,78,86
"34",2018-01-14,46,77,100,49,68,55,72,75,13,22,88,1,55,27,55,81,85
"35",2018-01-21,77,73,54,46,70,48,74,66,12,25,79,2,56,27,47,81,86
"36",2018-01-28,41,72,51,45,68,47,80,64,14,18,78,1,56,26,46,85,87
"37",2018-02-04,32,77,50,48,77,67,78,65,18,20,79,1,52,25,43,87,84
"38",2018-02-11,58,87,48,51,77,54,84,71,13,24,79,1,52,28,53,100,85
"39",2018-02-18,24,64,53,48,73,55,80,70,13,22,100,1,59,26,49,81,81
"40",2018-02-25,33,58,51,46,79,54,82,75,12,21,77,2,61,26,44,78,80
"41",2018-03-04,20,55,49,47,75,48,75,65,12,20,77,1,54,32,46,79,80
"42",2018-03-11,33,57,60,43,72,53,73,68,13,20,76,1,52,29,47,87,75
"43",2018-03-18,49,55,72,46,75,60,76,80,12,21,78,1,57,30,48,89,78
"44",2018-03-25,38,57,56,42,68,46,76,89,12,22,78,1,56,31,56,87,79
"45",2018-04-01,42,58,51,43,73,51,75,89,12,25,79,1,52,31,55,82,80
"46",2018-04-08,37,58,53,42,68,54,80,93,21,22,79,1,53,31,53,79,79
"47",2018-04-15,37,51,48,42,65,54,80,76,13,21,75,1,64,30,56,80,73
"48",2018-04-22,45,56,48,41,74,72,80,80,13,23,78,2,53,32,57,76,84
"49",2018-04-29,53,51,47,40,72,46,77,76,15,20,73,1,53,45,54,76,80
"50",2018-05-06,54,54,45,42,73,60,77,84,22,22,77,2,52,41,59,80,77
"51",2018-05-13,38,56,48,49,63,50,73,86,61,20,75,1,51,37,58,80,77
"52",2018-05-20,47,54,45,45,61,47,70,96,48,19,76,1,54,38,60,81,77
"53",2018-05-27,100,61,45,44,61,62,67,85,46,22,79,1,57,37,68,82,89
"54",2018-06-03,43,60,46,41,68,59,68,94,37,20,81,1,57,37,65,78,74
"55",2018-06-10,47,58,52,43,65,63,66,89,29,23,81,1,57,35,66,82,76
"56",2018-06-17,52,60,60,42,63,64,61,87,22,25,81,1,61,34,67,81,77
"57",2018-06-24,48,64,60,43,64,47,62,84,20,21,80,3,58,37,70,80,84
"58",2018-07-01,36,62,61,44,61,61,60,97,24,23,84,2,59,37,73,83,90
"59",2018-07-08,43,63,65,43,69,49,65,100,19,20,82,2,63,38,71,89,82
"60",2018-07-15,52,75,50,43,71,55,61,95,17,23,86,3,59,37,71,81,83
"61",2018-07-22,88,71,47,44,73,65,65,91,16,22,81,3,59,39,71,83,87
"62",2018-07-29,56,69,46,44,72,66,62,87,17,20,82,2,60,36,71,80,82
"63",2018-08-05,43,71,47,42,64,55,61,97,17,18,80,2,64,35,70,80,93
"64",2018-08-12,48,61,46,42,63,50,60,95,16,21,81,3,64,36,70,81,91
"65",2018-08-19,35,60,47,41,59,56,64,79,20,21,77,2,63,35,65,79,82
